21.03.2019, 23:35:16, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?am=1&TON=20&MNU=&TP=BM&SZ=1&TMM=3&MVG=14&MVJ=0&ROLE=Missile%20Boat&DMGS=1&DMGM=1&DMGL=1&OV=0&A=2&S=2&PVA=36&SPCL=CASE%2CIF1&PN=Mary&PI=images%2Fpilots%2Ff_005.png&SKILL=0&MULID=189&MODEL=Baboon%20(Howler)%20(Standard)&UNITID=4
21.03.2019, 23:35:17, 95.62.73.105, GET, /apps/ASCard/gui_assign_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:35:29, 95.62.73.105, GET, /apps/ASCard/gui_assign_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php?unitid=5&unitname=Bravo
21.03.2019, 23:35:29, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_assign_unit.php?assignmech=1&UNITID=4&MECHID=1
21.03.2019, 23:35:34, 95.62.73.105, GET, /apps/ASCard/gui_create_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:35:44, 95.62.73.105, GET, /apps/ASCard/gui_create_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?unitid=5&unitname=Bravo
21.03.2019, 23:35:45, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?am=1&TON=20&MNU=&TP=BM&SZ=1&TMM=3&MVG=14&MVJ=0&ROLE=Missile%20Boat&DMGS=1&DMGM=1&DMGL=1&OV=0&A=2&S=2&PVA=36&SPCL=CASE%2CIF1&PN=Ryder&PI=images%2Fpilots%2Fm_125.png&SKILL=0&MULID=189&MODEL=Baboon%20(Howler)%20(Standard)&UNITID=5
21.03.2019, 23:35:47, 95.62.73.105, GET, /apps/ASCard/gui_create_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:35:53, 95.62.73.105, GET, /apps/ASCard/gui_create_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?unitid=5&unitname=Bravo
21.03.2019, 23:35:54, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?am=1&TON=20&MNU=&TP=BM&SZ=1&TMM=3&MVG=14&MVJ=0&ROLE=Missile%20Boat&DMGS=1&DMGM=1&DMGL=1&OV=0&A=2&S=2&PVA=14&SPCL=CASE%2CIF1&PN=Gianni&PI=images%2Fpilots%2Fm_076.png&SKILL=7&MULID=189&MODEL=Baboon%20(Howler)%20(Standard)&UNITID=5
21.03.2019, 23:36:01, 95.62.73.105, GET, /apps/ASCard/gui_play_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:36:01, 95.62.73.105, GET, /apps/ASCard/save.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=4&chosenmech=2
21.03.2019, 23:36:02, 95.62.73.105, GET, /apps/ASCard/save.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=4&chosenmech=2
21.03.2019, 23:36:06, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/index.html
21.03.2019, 23:36:22, 95.62.73.105, GET, /apps/ASCard/gui_play_mech.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
21.03.2019, 23:36:22, 95.62.73.105, GET, /apps/ASCard/save.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/save.php
21.03.2019, 23:36:23, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_create_mech.php?am=1&TON=20&MNU=&TP=BM&SZ=1&TMM=3&MVG=14&MVJ=0&ROLE=Missile%20Boat&DMGS=1&DMGM=1&DMGL=1&OV=0&A=2&S=2&PVA=14&SPCL=CASE%2CIF1&PN=Gianni&PI=images%2Fpilots%2Fm_076.png&SKILL=7&MULID=189&MODEL=Baboon%20(Howler)%20(Standard)&UNITID=5
21.03.2019, 23:36:30, 95.62.73.105, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Linux; Android 9; Pixel 3 XL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=4&chosenmech=2
21.03.2019, 23:57:08, 128.0.100.152, POST, /apps/ASCard/login.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
21.03.2019, 23:57:08, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 00:00:57, 128.0.100.152, GET, /apps/ASCard/gui_play_mech.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_select_unit.php
22.03.2019, 00:00:57, 128.0.100.152, GET, /apps/ASCard/save.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Safari/537.36, https://www.clanwolf.net/apps/ASCard/gui_play_mech.php?unit=1&chosenmech=1
22.03.2019, 00:01:00, 128.0.100.152, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Safari/537.36, https://www.clanwolf.net/apps/ASCard/login.php
22.03.2019, 09:17:27, 212.88.152.150, GET, /apps/ASCard/gui_select_unit.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.121 Safari/537.36, https://www.clanwolf.net/apps/ASCard/index.html
